user_id,gender_code,gender,age_code,age,occupation_code,occupation,zip,cluster,genres
377,M,Male,25,25-34,17,Technician/Engineer,55418,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
454,M,Male,25,25-34,20,Writer,55092,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
498,M,Male,35,35-44,17,Technician/Engineer,55113,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
566,M,Male,25,25-34,17,Technician/Engineer,92122,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
690,M,Male,25,25-34,12,Programmer,90717,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
695,F,Female,18,18-24,1,Academic/Educator,04240,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
736,M,Male,18,18-24,12,Programmer,07070,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
737,M,Male,1,Under 18,19,Unemployed,53711,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
774,M,Male,18,18-24,4,College/Grad Student,22903,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
893,F,Female,50,50-55,6,Doctor/Health Care,85016,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
971,M,Male,25,25-34,12,Programmer,43615,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1073,F,Female,25,25-34,6,Doctor/Health Care,72211,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1079,M,Male,25,25-34,7,Executive/Managerial,98115,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1084,M,Male,1,Under 18,19,Unemployed,03226,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1099,M,Male,25,25-34,17,Technician/Engineer,77059,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1131,M,Male,56,56+,13,Retired,12570,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1133,M,Male,18,18-24,2,Artist,90038,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1155,M,Male,25,25-34,12,Programmer,90278,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1182,M,Male,1,Under 18,10,K-12 Student,91326,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1231,M,Male,25,25-34,12,Programmer,60515,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1252,M,Male,56,56+,13,Retired,94134,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1265,F,Female,18,18-24,20,Writer,49321,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1297,M,Male,25,25-34,7,Executive/Managerial,92109,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1324,M,Male,35,35-44,16,Self-Employed,07030,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1352,M,Male,35,35-44,20,Writer,94122,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1396,F,Female,25,25-34,12,Programmer,94530,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1413,M,Male,18,18-24,3,Clerical/Admin,98122,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1430,M,Male,18,18-24,4,College/Grad Student,97215,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1437,M,Male,50,50-55,3,Clerical/Admin,89102,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1440,M,Male,35,35-44,12,Programmer,94520,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1483,M,Male,18,18-24,4,College/Grad Student,54481,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1492,M,Male,25,25-34,12,Programmer,98102,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1498,M,Male,18,18-24,4,College/Grad Student,02139,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1514,M,Male,18,18-24,4,College/Grad Student,97215,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1527,M,Male,18,18-24,10,K-12 Student,78230,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1680,M,Male,25,25-34,20,Writer,95380,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1694,M,Male,25,25-34,12,Programmer,98116,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1791,M,Male,18,18-24,4,College/Grad Student,19146,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1863,M,Male,18,18-24,4,College/Grad Student,90048,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1877,F,Female,45,45-49,20,Writer,90069,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1937,M,Male,25,25-34,11,Lawyer,92335,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1939,F,Female,35,35-44,2,Artist,94930,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
1947,M,Male,25,25-34,7,Executive/Managerial,94041,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2010,M,Male,18,18-24,4,College/Grad Student,81520,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2039,M,Male,50,50-55,16,Self-Employed,60060,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2064,M,Male,35,35-44,1,Academic/Educator,01020,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2070,F,Female,35,35-44,6,Doctor/Health Care,13210,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2119,M,Male,35,35-44,4,College/Grad Student,10036,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2121,M,Male,56,56+,13,Retired,02356,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2122,M,Male,35,35-44,12,Programmer,61614,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2157,F,Female,18,18-24,3,Clerical/Admin,45244,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2172,M,Male,18,18-24,20,Writer,60641,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2244,M,Male,1,Under 18,10,K-12 Student,60565,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2323,M,Male,35,35-44,3,Clerical/Admin,13088,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2349,M,Male,25,25-34,8,Farmer,50309,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2478,M,Male,50,50-55,1,Academic/Educator,37922,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2523,M,Male,25,25-34,17,Technician/Engineer,49423,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2526,M,Male,56,56+,13,Retired,37923,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2546,F,Female,56,56+,13,Retired,37931,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2555,M,Male,56,56+,7,Executive/Managerial,10522,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2572,M,Male,35,35-44,14,Sales/Marketing,75005,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2670,M,Male,35,35-44,6,Doctor/Health Care,94598,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2693,M,Male,56,56+,13,Retired,72949,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2774,M,Male,25,25-34,1,Academic/Educator,92103,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2788,M,Male,56,56+,1,Academic/Educator,90049,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2844,M,Male,25,25-34,20,Writer,87103,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2847,M,Male,18,18-24,4,College/Grad Student,10027,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2870,M,Male,50,50-55,18,Tradesman/Craftsman,95472,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2897,M,Male,25,25-34,5,Customer Service,97405,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2939,F,Female,25,25-34,15,Scientist,94901,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2942,F,Female,50,50-55,1,Academic/Educator,93103,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2946,M,Male,35,35-44,16,Self-Employed,92630,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2952,M,Male,25,25-34,4,College/Grad Student,06511,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
2962,M,Male,35,35-44,3,Clerical/Admin,94109,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3004,F,Female,18,18-24,4,College/Grad Student,02138,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3093,F,Female,45,45-49,20,Writer,89134,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3135,M,Male,25,25-34,15,Scientist,12345,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3143,F,Female,50,50-55,16,Self-Employed,90272,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3172,M,Male,18,18-24,12,Programmer,55408,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3178,F,Female,35,35-44,5,Customer Service,44313,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3195,M,Male,18,18-24,4,College/Grad Student,80228,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3197,F,Female,18,18-24,14,Sales/Marketing,94110,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
3240,M,Male,18,18-24,4,College/Grad Student,55403,0,"['Drama', 'Comedy', 'Action', 'Thriller', 'Sci-Fi', 'Romance', 'Adventure', 'Crime', 'War', 'Horror', ""Children's"", 'Mystery', 'Fantasy', 'Animation', 'Musical', 'Film-Noir', 'Western', 'Documentary']"
