user_id,gender_code,gender,age_code,age,occupation_code,occupation,zip,cluster
1514,M,Male,18,18-24,4,College/Grad Student,97215,0
1527,M,Male,18,18-24,10,K-12 Student,78230,0
1680,M,Male,25,25-34,20,Writer,95380,0
1694,M,Male,25,25-34,12,Programmer,98116,0
1791,M,Male,18,18-24,4,College/Grad Student,19146,0
1863,M,Male,18,18-24,4,College/Grad Student,90048,0
1877,F,Female,45,45-49,20,Writer,90069,0
1937,M,Male,25,25-34,11,Lawyer,92335,0
1939,F,Female,35,35-44,2,Artist,94930,0
1947,M,Male,25,25-34,7,Executive/Managerial,94041,0
2010,M,Male,18,18-24,4,College/Grad Student,81520,0
2039,M,Male,50,50-55,16,Self-Employed,60060,0
2064,M,Male,35,35-44,1,Academic/Educator,01020,0
2070,F,Female,35,35-44,6,Doctor/Health Care,13210,0
2119,M,Male,35,35-44,4,College/Grad Student,10036,0
2121,M,Male,56,56+,13,Retired,02356,0
2122,M,Male,35,35-44,12,Programmer,61614,0
2157,F,Female,18,18-24,3,Clerical/Admin,45244,0
2172,M,Male,18,18-24,20,Writer,60641,0
2244,M,Male,1,Under 18,10,K-12 Student,60565,0
2323,M,Male,35,35-44,3,Clerical/Admin,13088,0
2349,M,Male,25,25-34,8,Farmer,50309,0
2478,M,Male,50,50-55,1,Academic/Educator,37922,0
2523,M,Male,25,25-34,17,Technician/Engineer,49423,0
2526,M,Male,56,56+,13,Retired,37923,0
2546,F,Female,56,56+,13,Retired,37931,0
2555,M,Male,56,56+,7,Executive/Managerial,10522,0
2572,M,Male,35,35-44,14,Sales/Marketing,75005,0
2670,M,Male,35,35-44,6,Doctor/Health Care,94598,0
2693,M,Male,56,56+,13,Retired,72949,0
2774,M,Male,25,25-34,1,Academic/Educator,92103,0
2788,M,Male,56,56+,1,Academic/Educator,90049,0
2844,M,Male,25,25-34,20,Writer,87103,0
2847,M,Male,18,18-24,4,College/Grad Student,10027,0
2870,M,Male,50,50-55,18,Tradesman/Craftsman,95472,0
2897,M,Male,25,25-34,5,Customer Service,97405,0
2939,F,Female,25,25-34,15,Scientist,94901,0
2942,F,Female,50,50-55,1,Academic/Educator,93103,0
2946,M,Male,35,35-44,16,Self-Employed,92630,0
2952,M,Male,25,25-34,4,College/Grad Student,06511,0
2962,M,Male,35,35-44,3,Clerical/Admin,94109,0
3004,F,Female,18,18-24,4,College/Grad Student,02138,0
3093,F,Female,45,45-49,20,Writer,89134,0
3135,M,Male,25,25-34,15,Scientist,12345,0
3143,F,Female,50,50-55,16,Self-Employed,90272,0
3172,M,Male,18,18-24,12,Programmer,55408,0
3178,F,Female,35,35-44,5,Customer Service,44313,0
3195,M,Male,18,18-24,4,College/Grad Student,80228,0
3197,F,Female,18,18-24,14,Sales/Marketing,94110,0
3240,M,Male,18,18-24,4,College/Grad Student,55403,0
3250,M,Male,25,25-34,4,College/Grad Student,90069,0
3266,F,Female,25,25-34,4,College/Grad Student,95616,0
3280,M,Male,25,25-34,7,Executive/Managerial,33486,0
3336,M,Male,35,35-44,17,Technician/Engineer,93436,0
3340,M,Male,45,45-49,16,Self-Employed,48097,0
3370,M,Male,18,18-24,4,College/Grad Student,92833,0
3374,M,Male,35,35-44,5,Customer Service,64801,0
3387,M,Male,18,18-24,1,Academic/Educator,94706,0
3411,M,Male,18,18-24,4,College/Grad Student,02139,0
3413,F,Female,25,25-34,17,Technician/Engineer,92084,0
3442,M,Male,18,18-24,12,Programmer,20878,0
3457,M,Male,25,25-34,20,Writer,19083,0
3481,M,Male,18,18-24,4,College/Grad Student,94122,0
3505,F,Female,25,25-34,15,Scientist,55455,0
3515,M,Male,35,35-44,3,Clerical/Admin,55042,0
3543,M,Male,25,25-34,17,Technician/Engineer,60659,0
3621,M,Male,18,18-24,4,College/Grad Student,33023,0
3688,M,Male,18,18-24,6,Doctor/Health Care,21202,0
3732,M,Male,25,25-34,17,Technician/Engineer,60153,0
3733,M,Male,18,18-24,4,College/Grad Student,02777,0
3762,M,Male,50,50-55,6,Doctor/Health Care,11746,0
3822,M,Male,45,45-49,20,Writer,98027,0
3830,M,Male,18,18-24,4,College/Grad Student,60630,0
3847,M,Male,25,25-34,7,Executive/Managerial,12801,0
3864,M,Male,50,50-55,20,Writer,29630,0
3894,M,Male,35,35-44,16,Self-Employed,02139,0
3898,M,Male,45,45-49,11,Lawyer,01772,0
3942,M,Male,18,18-24,4,College/Grad Student,49855,0
4040,M,Male,25,25-34,20,Writer,75006,0
4050,M,Male,35,35-44,6,Doctor/Health Care,60061,0
4070,M,Male,25,25-34,15,Scientist,93107,0
4084,M,Male,56,56+,13,Retired,14215,0
4099,M,Male,35,35-44,17,Technician/Engineer,94954,0
4103,M,Male,18,18-24,16,Self-Employed,11211,0
4134,F,Female,45,45-49,12,Programmer,85283,0
4167,M,Male,25,25-34,20,Writer,22032,0
4195,F,Female,56,56+,13,Retired,95050,0
4222,F,Female,45,45-49,17,Technician/Engineer,55976,0
4361,M,Male,35,35-44,15,Scientist,83616,0
4378,M,Male,18,18-24,17,Technician/Engineer,06040,0
4381,M,Male,25,25-34,4,College/Grad Student,65804,0
4382,M,Male,25,25-34,18,Tradesman/Craftsman,14620,0
4454,M,Male,25,25-34,20,Writer,111225,0
4460,M,Male,25,25-34,14,Sales/Marketing,70005,0
4471,M,Male,25,25-34,6,Doctor/Health Care,94108,0
4507,M,Male,18,18-24,4,College/Grad Student,61820,0
4521,M,Male,35,35-44,12,Programmer,15202,0
4598,F,Female,35,35-44,3,Clerical/Admin,48237,0
4734,M,Male,50,50-55,1,Academic/Educator,93105,0
4735,M,Male,45,45-49,3,Clerical/Admin,50312,0
4780,M,Male,25,25-34,12,Programmer,94114,0
4791,M,Male,18,18-24,4,College/Grad Student,55116,0
4793,F,Female,25,25-34,6,Doctor/Health Care,48108,0
4795,M,Male,45,45-49,16,Self-Employed,10962,0
4812,M,Male,18,18-24,14,Sales/Marketing,25301,0
4826,M,Male,45,45-49,12,Programmer,55436,0
4858,M,Male,25,25-34,1,Academic/Educator,04086,0
4865,F,Female,35,35-44,14,Sales/Marketing,02130,0
4905,F,Female,45,45-49,1,Academic/Educator,60417,0
4956,M,Male,35,35-44,15,Scientist,77007,0
4967,M,Male,18,18-24,4,College/Grad Student,94708,0
4980,M,Male,25,25-34,1,Academic/Educator,55403,0
5019,M,Male,25,25-34,7,Executive/Managerial,10025,0
5167,M,Male,18,18-24,15,Scientist,06114,0
5180,M,Male,35,35-44,11,Lawyer,85044,0
5233,M,Male,25,25-34,5,Customer Service,97213,0
5242,M,Male,25,25-34,1,Academic/Educator,14608,0
5261,M,Male,35,35-44,12,Programmer,10025,0
5366,M,Male,18,18-24,12,Programmer,90045,0
5413,M,Male,35,35-44,1,Academic/Educator,59801,0
5424,F,Female,35,35-44,2,Artist,80012,0
5432,M,Male,56,56+,13,Retired,01742,0
5446,F,Female,50,50-55,1,Academic/Educator,65203,0
5470,M,Male,56,56+,7,Executive/Managerial,20003-2712,0
5502,M,Male,25,25-34,2,Artist,66044,0
5553,M,Male,35,35-44,3,Clerical/Admin,29425,0
5596,M,Male,35,35-44,12,Programmer,22201,0
5621,M,Male,25,25-34,7,Executive/Managerial,02135,0
5647,M,Male,18,18-24,1,Academic/Educator,62522,0
5686,M,Male,56,56+,16,Self-Employed,60610,0
5688,F,Female,18,18-24,4,College/Grad Student,78666,0
5723,M,Male,18,18-24,12,Programmer,55057,0
5736,M,Male,25,25-34,1,Academic/Educator,08904,0
5757,M,Male,1,Under 18,10,K-12 Student,05667,0
5769,M,Male,45,45-49,14,Sales/Marketing,05602,0
5826,M,Male,18,18-24,4,College/Grad Student,60201,0
5871,F,Female,25,25-34,4,College/Grad Student,01002,0
5875,M,Male,25,25-34,4,College/Grad Student,19103,0
5885,M,Male,25,25-34,1,Academic/Educator,96930,0
5906,F,Female,18,18-24,4,College/Grad Student,19803,0
5911,F,Female,25,25-34,17,Technician/Engineer,80301,0
5939,F,Female,45,45-49,15,Scientist,77040,0
5963,M,Male,25,25-34,15,Scientist,02140,0
5964,M,Male,18,18-24,5,Customer Service,97202,0
6037,F,Female,45,45-49,1,Academic/Educator,76006,0
102,M,Male,35,35-44,19,Unemployed,20871,1
186,M,Male,18,18-24,5,Customer Service,91767,1
274,M,Male,18,18-24,4,College/Grad Student,55455,1
376,M,Male,35,35-44,1,Academic/Educator,80026,1
787,M,Male,18,18-24,4,College/Grad Student,77802,1
789,M,Male,18,18-24,1,Academic/Educator,67212,1
828,M,Male,18,18-24,4,College/Grad Student,70817,1
838,M,Male,50,50-55,17,Technician/Engineer,92661,1
891,M,Male,25,25-34,1,Academic/Educator,80202,1
940,M,Male,1,Under 18,10,K-12 Student,76240,1
1160,M,Male,18,18-24,14,Sales/Marketing,07017,1
1170,M,Male,56,56+,3,Clerical/Admin,10023,1
1204,M,Male,25,25-34,7,Executive/Managerial,95076,1
1230,M,Male,25,25-34,11,Lawyer,95125,1
1261,M,Male,18,18-24,4,College/Grad Student,40205,1
1300,M,Male,1,Under 18,10,K-12 Student,97201,1
1360,M,Male,25,25-34,20,Writer,14895,1
1366,M,Male,1,Under 18,10,K-12 Student,89509,1
1544,M,Male,25,25-34,12,Programmer,63146,1
1560,F,Female,25,25-34,3,Clerical/Admin,85226,1
1602,F,Female,25,25-34,7,Executive/Managerial,10562,1
1607,M,Male,45,45-49,1,Academic/Educator,02135,1
1608,M,Male,25,25-34,11,Lawyer,75230,1
1636,F,Female,25,25-34,19,Unemployed,60612,1
1690,M,Male,35,35-44,16,Self-Employed,98029,1
1765,M,Male,18,18-24,4,College/Grad Student,13655,1
1779,M,Male,18,18-24,1,Academic/Educator,78133,1
1828,M,Male,18,18-24,4,College/Grad Student,07030,1
1831,M,Male,18,18-24,4,College/Grad Student,53190,1
2050,F,Female,35,35-44,3,Clerical/Admin,99504,1
2129,M,Male,25,25-34,5,Customer Service,04103,1
2199,M,Male,1,Under 18,10,K-12 Student,60613,1
2212,M,Male,18,18-24,4,College/Grad Student,80521,1
2298,M,Male,35,35-44,17,Technician/Engineer,77584,1
2344,M,Male,25,25-34,12,Programmer,02139,1
2427,F,Female,25,25-34,14,Sales/Marketing,94010,1
2744,M,Male,18,18-24,17,Technician/Engineer,53818,1
2790,M,Male,25,25-34,20,Writer,85013,1
2801,F,Female,25,25-34,3,Clerical/Admin,12866,1
2883,M,Male,18,18-24,20,Writer,30101,1
2974,M,Male,18,18-24,4,College/Grad Student,48105,1
3041,M,Male,25,25-34,4,College/Grad Student,97333,1
3069,M,Male,18,18-24,4,College/Grad Student,97470,1
3123,M,Male,25,25-34,2,Artist,90401,1
3159,F,Female,25,25-34,15,Scientist,15213,1
3206,M,Male,18,18-24,20,Writer,44089,1
3290,M,Male,25,25-34,14,Sales/Marketing,90292,1
3332,M,Male,25,25-34,7,Executive/Managerial,06854,1
3333,M,Male,18,18-24,16,Self-Employed,29404-2205,1
3474,M,Male,35,35-44,11,Lawyer,10538,1
3489,M,Male,18,18-24,4,College/Grad Student,60201,1
3504,M,Male,18,18-24,7,Executive/Managerial,02215,1
3571,M,Male,18,18-24,4,College/Grad Student,10044,1
3605,M,Male,18,18-24,12,Programmer,60640,1
3619,M,Male,50,50-55,16,Self-Employed,97116,1
3638,M,Male,25,25-34,2,Artist,90038,1
3684,M,Male,25,25-34,17,Technician/Engineer,83713,1
3697,M,Male,25,25-34,15,Scientist,68516,1
3698,M,Male,25,25-34,7,Executive/Managerial,53202,1
3745,F,Female,25,25-34,9,Homemaker,49442,1
3925,M,Male,25,25-34,12,Programmer,77042,1
4024,M,Male,25,25-34,5,Customer Service,45011,1
4051,M,Male,18,18-24,14,Sales/Marketing,01604,1
4132,M,Male,25,25-34,17,Technician/Engineer,80112,1
4406,M,Male,25,25-34,16,Self-Employed,80013,1
4409,M,Male,25,25-34,14,Sales/Marketing,65023,1
4414,M,Male,25,25-34,4,College/Grad Student,40504,1
4436,M,Male,25,25-34,12,Programmer,19067,1
4498,M,Male,50,50-55,7,Executive/Managerial,76054,1
4568,F,Female,25,25-34,4,College/Grad Student,90034,1
4620,F,Female,18,18-24,17,Technician/Engineer,94606,1
4697,M,Male,18,18-24,10,K-12 Student,79605,1
5097,M,Male,56,56+,16,Self-Employed,19131,1
5151,M,Male,18,18-24,19,Unemployed,30662,1
5198,F,Female,18,18-24,4,College/Grad Student,55118,1
5208,M,Male,25,25-34,4,College/Grad Student,55455,1
5225,M,Male,18,18-24,4,College/Grad Student,55120,1
5305,F,Female,18,18-24,4,College/Grad Student,95602,1
5378,M,Male,35,35-44,18,Tradesman/Craftsman,10463,1
5395,M,Male,50,50-55,1,Academic/Educator,13224,1
5455,F,Female,18,18-24,17,Technician/Engineer,55449,1
5459,F,Female,1,Under 18,10,K-12 Student,99016,1
5791,M,Male,18,18-24,4,College/Grad Student,44074,1
5797,M,Male,25,25-34,7,Executive/Managerial,78757,1
5811,M,Male,18,18-24,4,College/Grad Student,60202,1
5845,F,Female,25,25-34,3,Clerical/Admin,79411,1
33,M,Male,45,45-49,3,Clerical/Admin,55421,2
90,M,Male,56,56+,13,Retired,85749,2
123,M,Male,35,35-44,9,Homemaker,67208,2
127,F,Female,45,45-49,3,Clerical/Admin,01770,2
192,M,Male,18,18-24,1,Academic/Educator,10977,2
321,M,Male,18,18-24,4,College/Grad Student,55128,2
516,F,Female,56,56+,14,Sales/Marketing,55033,2
549,M,Male,25,25-34,6,Doctor/Health Care,53217,2
571,M,Male,50,50-55,5,Customer Service,95401,2
652,M,Male,18,18-24,20,Writer,12222,2
732,M,Male,25,25-34,7,Executive/Managerial,07030,2
735,M,Male,25,25-34,14,Sales/Marketing,04240,2
754,M,Male,35,35-44,7,Executive/Managerial,38024,2
757,M,Male,25,25-34,12,Programmer,97401,2
767,M,Male,25,25-34,12,Programmer,45241,2
777,M,Male,18,18-24,19,Unemployed,87543,2
802,M,Male,25,25-34,16,Self-Employed,22801,2
817,M,Male,18,18-24,4,College/Grad Student,41076,2
876,M,Male,25,25-34,4,College/Grad Student,43202,2
904,M,Male,35,35-44,20,Writer,92308,2
985,M,Male,25,25-34,4,College/Grad Student,32608,2
996,M,Male,25,25-34,17,Technician/Engineer,98102,2
1105,M,Male,35,35-44,6,Doctor/Health Care,48105,2
1125,F,Female,18,18-24,4,College/Grad Student,53715,2
1142,M,Male,18,18-24,1,Academic/Educator,43623,2
1399,M,Male,18,18-24,17,Technician/Engineer,10804,2
1630,M,Male,45,45-49,17,Technician/Engineer,91355,2
1643,M,Male,45,45-49,2,Artist,90813,2
1748,M,Male,50,50-55,1,Academic/Educator,04240,2
1757,M,Male,25,25-34,4,College/Grad Student,75206,2
1887,M,Male,56,56+,15,Scientist,92119,2
1902,M,Male,25,25-34,19,Unemployed,93536,2
2025,M,Male,56,56+,13,Retired,03440,2
2098,M,Male,35,35-44,20,Writer,48067,2
2263,M,Male,25,25-34,6,Doctor/Health Care,70508,2
2353,F,Female,35,35-44,9,Homemaker,61270,2
2395,M,Male,35,35-44,7,Executive/Managerial,08021,2
2504,M,Male,25,25-34,7,Executive/Managerial,98115,2
2559,M,Male,18,18-24,10,K-12 Student,53207,2
2592,M,Male,50,50-55,7,Executive/Managerial,80004-4448,2
2609,F,Female,50,50-55,12,Programmer,55391,2
3001,M,Male,18,18-24,4,College/Grad Student,94704,2
3044,M,Male,35,35-44,16,Self-Employed,77301,2
3055,F,Female,25,25-34,3,Clerical/Admin,98501,2
3121,M,Male,25,25-34,2,Artist,32118,2
3265,M,Male,25,25-34,15,Scientist,53704,2
3426,M,Male,25,25-34,20,Writer,90046,2
3464,F,Female,25,25-34,14,Sales/Marketing,78251,2
3503,M,Male,18,18-24,4,College/Grad Student,59715,2
3603,F,Female,35,35-44,7,Executive/Managerial,78704,2
3620,M,Male,25,25-34,7,Executive/Managerial,94117,2
3651,M,Male,25,25-34,14,Sales/Marketing,98103,2
3677,F,Female,25,25-34,12,Programmer,06906,2
3717,M,Male,35,35-44,17,Technician/Engineer,94533,2
3757,M,Male,25,25-34,7,Executive/Managerial,92612,2
3831,F,Female,18,18-24,6,Doctor/Health Care,84780,2
3855,M,Male,25,25-34,17,Technician/Engineer,20886,2
3868,M,Male,18,18-24,12,Programmer,73112,2
3914,M,Male,35,35-44,4,College/Grad Student,84123,2
3965,M,Male,18,18-24,11,Lawyer,65202,2
3970,F,Female,25,25-34,2,Artist,02903,2
4060,M,Male,25,25-34,18,Tradesman/Craftsman,55412,2
4079,M,Male,35,35-44,17,Technician/Engineer,26505,2
4094,M,Male,25,25-34,17,Technician/Engineer,49017,2
4116,M,Male,35,35-44,7,Executive/Managerial,07040,2
4249,F,Female,18,18-24,17,Technician/Engineer,65203,2
4252,F,Female,35,35-44,3,Clerical/Admin,28262,2
4274,F,Female,45,45-49,1,Academic/Educator,04258,2
4305,F,Female,45,45-49,17,Technician/Engineer,27616,2
4310,M,Male,25,25-34,4,College/Grad Student,57006,2
4312,M,Male,25,25-34,18,Tradesman/Craftsman,78757,2
4327,M,Male,35,35-44,17,Technician/Engineer,37221,2
4329,F,Female,25,25-34,14,Sales/Marketing,78232,2
4368,M,Male,18,18-24,17,Technician/Engineer,22043,2
4380,F,Female,25,25-34,1,Academic/Educator,37153,2
4445,M,Male,25,25-34,3,Clerical/Admin,19806,2
4477,M,Male,25,25-34,7,Executive/Managerial,98908,2
4496,M,Male,45,45-49,2,Artist,06513,2
4505,M,Male,50,50-55,7,Executive/Managerial,39648,2
4520,M,Male,25,25-34,4,College/Grad Student,45810,2
4615,M,Male,25,25-34,17,Technician/Engineer,61615,2
4687,M,Male,35,35-44,14,Sales/Marketing,01746,2
4742,M,Male,25,25-34,3,Clerical/Admin,94118,2
4774,M,Male,45,45-49,14,Sales/Marketing,07458,2
4834,F,Female,45,45-49,9,Homemaker,03862,2
4906,M,Male,50,50-55,17,Technician/Engineer,49506,2
4921,F,Female,25,25-34,15,Scientist,92507,2
5039,F,Female,35,35-44,4,College/Grad Student,97068,2
5041,F,Female,45,45-49,6,Doctor/Health Care,60031,2
5059,M,Male,45,45-49,16,Self-Employed,22652,2
5120,M,Male,50,50-55,7,Executive/Managerial,80302,2
5123,M,Male,50,50-55,12,Programmer,34761,2
5129,M,Male,45,45-49,17,Technician/Engineer,40515,2
5205,M,Male,25,25-34,1,Academic/Educator,02908,2
5209,M,Male,50,50-55,1,Academic/Educator,46077,2
5230,M,Male,25,25-34,12,Programmer,91104,2
5364,F,Female,25,25-34,3,Clerical/Admin,55408,2
5433,F,Female,35,35-44,17,Technician/Engineer,45014,2
5453,M,Male,18,18-24,4,College/Grad Student,30305,2
5469,M,Male,35,35-44,12,Programmer,20171,2
5473,M,Male,25,25-34,1,Academic/Educator,20120-6354,2
5604,M,Male,35,35-44,15,Scientist,63117,2
5675,M,Male,35,35-44,14,Sales/Marketing,30030,2
5912,M,Male,25,25-34,1,Academic/Educator,77064,2
6001,F,Female,25,25-34,7,Executive/Managerial,94117,2
26,M,Male,25,25-34,7,Executive/Managerial,23112,3
38,F,Female,18,18-24,4,College/Grad Student,02215,3
45,F,Female,45,45-49,16,Self-Employed,94110,3
156,F,Female,45,45-49,7,Executive/Managerial,14519,3
237,M,Male,25,25-34,6,Doctor/Health Care,46835,3
268,F,Female,18,18-24,12,Programmer,29708,3
310,F,Female,18,18-24,4,College/Grad Student,31207,3
481,M,Male,45,45-49,7,Executive/Managerial,55115,3
499,F,Female,25,25-34,1,Academic/Educator,55108,3
518,F,Female,35,35-44,12,Programmer,75240,3
528,F,Female,18,18-24,17,Technician/Engineer,83843,3
534,M,Male,25,25-34,15,Scientist,55902,3
569,F,Female,18,18-24,4,College/Grad Student,97339,3
570,M,Male,25,25-34,4,College/Grad Student,33314,3
687,F,Female,25,25-34,7,Executive/Managerial,14136,3
765,M,Male,25,25-34,17,Technician/Engineer,74467,3
791,M,Male,35,35-44,7,Executive/Managerial,27511,3
798,F,Female,25,25-34,20,Writer,48464,3
822,F,Female,25,25-34,1,Academic/Educator,07666,3
854,F,Female,25,25-34,16,Self-Employed,44092,3
927,F,Female,25,25-34,20,Writer,91105,3
945,M,Male,45,45-49,7,Executive/Managerial,49345,3
1016,M,Male,56,56+,16,Self-Employed,60044,3
1066,M,Male,45,45-49,12,Programmer,02151,3
1071,M,Male,50,50-55,16,Self-Employed,13045,3
1074,M,Male,45,45-49,17,Technician/Engineer,48073,3
1078,F,Female,45,45-49,9,Homemaker,95661,3
1114,F,Female,18,18-24,9,Homemaker,75801,3
1184,F,Female,25,25-34,4,College/Grad Student,92354,3
1193,M,Male,25,25-34,12,Programmer,90712,3
1202,M,Male,35,35-44,12,Programmer,97006,3
1254,F,Female,18,18-24,1,Academic/Educator,02144,3
1345,F,Female,25,25-34,2,Artist,75070,3
1390,M,Male,35,35-44,16,Self-Employed,99352,3
1391,M,Male,35,35-44,15,Scientist,20723,3
1441,M,Male,35,35-44,16,Self-Employed,54729,3
1463,M,Male,50,50-55,16,Self-Employed,92612-3417,3
1524,M,Male,18,18-24,4,College/Grad Student,06459,3
1609,F,Female,35,35-44,9,Homemaker,06830,3
1922,F,Female,25,25-34,7,Executive/Managerial,94303,3
2072,F,Female,50,50-55,12,Programmer,21133,3
2222,F,Female,45,45-49,1,Academic/Educator,13088,3
2258,F,Female,18,18-24,4,College/Grad Student,10033,3
2320,F,Female,50,50-55,1,Academic/Educator,06043,3
2334,F,Female,56,56+,7,Executive/Managerial,01562,3
2340,M,Male,35,35-44,2,Artist,48104,3
2350,M,Male,18,18-24,4,College/Grad Student,44312,3
2406,F,Female,56,56+,12,Programmer,01520,3
2506,F,Female,25,25-34,14,Sales/Marketing,98225,3
2533,F,Female,25,25-34,3,Clerical/Admin,49423,3
2541,F,Female,35,35-44,5,Customer Service,49424,3
2564,F,Female,35,35-44,20,Writer,43230,3
2565,M,Male,35,35-44,5,Customer Service,34786,3
2718,F,Female,25,25-34,4,College/Grad Student,96817,3
2745,F,Female,35,35-44,1,Academic/Educator,30345,3
2754,M,Male,50,50-55,12,Programmer,60148,3
2873,F,Female,18,18-24,4,College/Grad Student,64093,3
2966,F,Female,25,25-34,4,College/Grad Student,48104,3
2997,F,Female,35,35-44,16,Self-Employed,45238,3
3017,F,Female,35,35-44,9,Homemaker,85255,3
3087,F,Female,1,Under 18,1,Academic/Educator,90802,3
3095,F,Female,25,25-34,3,Clerical/Admin,06810,3
3111,M,Male,18,18-24,4,College/Grad Student,56520,3
3297,M,Male,18,18-24,4,College/Grad Student,91325,3
3308,F,Female,18,18-24,20,Writer,15701-1348,3
3331,F,Female,25,25-34,7,Executive/Managerial,06854,3
3363,F,Female,35,35-44,9,Homemaker,04046,3
3441,F,Female,25,25-34,14,Sales/Marketing,94109,3
3462,F,Female,25,25-34,4,College/Grad Student,73160,3
3473,F,Female,35,35-44,16,Self-Employed,02472,3
3585,M,Male,35,35-44,20,Writer,60640,3
3600,M,Male,35,35-44,20,Writer,94506,3
3601,F,Female,35,35-44,3,Clerical/Admin,95405,3
3611,M,Male,25,25-34,2,Artist,84321,3
3713,F,Female,25,25-34,7,Executive/Managerial,22201,3
3751,F,Female,35,35-44,12,Programmer,55555,3
3766,F,Female,18,18-24,1,Academic/Educator,45458,3
3836,F,Female,50,50-55,8,Farmer,84770,3
3850,M,Male,18,18-24,3,Clerical/Admin,92278,3
3988,F,Female,25,25-34,14,Sales/Marketing,60647,3
3989,M,Male,50,50-55,12,Programmer,30030,3
4001,F,Female,25,25-34,1,Academic/Educator,01860,3
4077,F,Female,35,35-44,2,Artist,22030,3
4086,F,Female,1,Under 18,10,K-12 Student,55391,3
4171,M,Male,56,56+,16,Self-Employed,79705,3
4181,F,Female,25,25-34,7,Executive/Managerial,33177,3
4218,M,Male,50,50-55,17,Technician/Engineer,23233,3
4257,M,Male,50,50-55,16,Self-Employed,38122,3
4299,F,Female,25,25-34,2,Artist,43617,3
4371,F,Female,18,18-24,4,College/Grad Student,63109,3
4437,F,Female,35,35-44,5,Customer Service,47129,3
4483,F,Female,25,25-34,6,Doctor/Health Care,72703,3
4606,F,Female,1,Under 18,10,K-12 Student,90291,3
4619,F,Female,25,25-34,1,Academic/Educator,97225,3
4637,F,Female,35,35-44,9,Homemaker,48302,3
4655,F,Female,25,25-34,1,Academic/Educator,92037,3
4659,F,Female,25,25-34,14,Sales/Marketing,37076,3
4662,F,Female,18,18-24,4,College/Grad Student,84109,3
4675,F,Female,18,18-24,4,College/Grad Student,27514,3
4726,F,Female,35,35-44,16,Self-Employed,95828,3
4728,M,Male,25,25-34,19,Unemployed,31401,3
4785,F,Female,25,25-34,14,Sales/Marketing,55104,3
4789,M,Male,35,35-44,2,Artist,55104,3
4813,F,Female,35,35-44,9,Homemaker,46077,3
4828,F,Female,18,18-24,20,Writer,60194,3
4845,F,Female,25,25-34,1,Academic/Educator,55413,3
5015,M,Male,35,35-44,6,Doctor/Health Care,92672,3
5035,F,Female,25,25-34,17,Technician/Engineer,19810,3
5037,M,Male,35,35-44,12,Programmer,11375,3
5081,F,Female,18,18-24,4,College/Grad Student,19102,3
5087,F,Female,25,25-34,6,Doctor/Health Care,19102,3
5131,F,Female,25,25-34,1,Academic/Educator,77707,3
5139,M,Male,50,50-55,16,Self-Employed,12866,3
5248,F,Female,45,45-49,14,Sales/Marketing,22206,3
5250,M,Male,50,50-55,6,Doctor/Health Care,01545,3
